gene_name;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
TMSB4X;6,75708952110794e-16;0,348085951711151;1,000;1,000;1,21789781528449e-11
NFIB;6,76518697366091e-16;0,482982035279011;0,614;0,351;1,21935730013264e-11
ATCAY;7,44075581960691e-16;0,461367178460773;0,450;0,189;1,34112182892595e-11
RPL13;7,72533249078256e-16;-0,391622568913311;1,000;1,000;1,39241392813865e-11
TOP2B;7,85829774751059e-16;0,405619993500231;0,733;0,497;1,41637958601131e-11
MMP24;8,24765101072403e-16;0,402416659840562;0,368;0,122;1,48655661817290e-11
ENO2;9,34415813315037e-16;0,547587152189103;0,891;0,726;1,68419106191902e-11
PDZD4;9,46777781811902e-16;0,457124669809719;0,634;0,392;1,70647227393777e-11
DUSP26;1,08392927795638e-15;0,308135470094018;0,225;0,020;1,95367413058859e-11
ATP5PO;1,11507397272395e-15;0,369310348985641;0,900;0,767;2,00980932843766e-11
COX17;1,16296640326023e-15;0,410409852565434;0,676;0,422;2,09613064523624e-11
DYNLL2;1,16590622464218e-15;0,447974758653621;0,711;0,456;2,10142937929507e-11
MT-CYB;1,21460454381335e-15;-0,576117434962315;1,000;1,000;2,18920322976919e-11
MAP1LC3B;1,38329743885690e-15;0,398539570976543;0,793;0,557;2,49325530379567e-11
NCAN;1,42964224279146e-15;0,426478221193087;0,480;0,226;2,57678717840733e-11
SEZ6;1,48211587436691e-15;0,414448713718440;0,350;0,111;2,67136565195892e-11
L1CAM;1,70756146153622e-15;0,569464313446494;0,543;0,294;3,07770877827288e-11
RAB6B;1,98825216882019e-15;0,496970807295503;0,665;0,439;3,58362570908151e-11
ST6GAL2;2,05349060650060e-15;0,440147316962647;0,430;0,182;3,70121146915668e-11
HS6ST1;2,05936763586654e-15;0,437805185548452;0,600;0,338;3,71180422688585e-11
LMO3;2,07059026045762e-15;0,403378538049348;0,444;0,189;3,73203188544881e-11
APLP1;2,13719614714087e-15;0,512734268066685;0,794;0,605;3,85208233560671e-11
B3GAT1;2,35391643305682e-15;0,372942297027723;0,410;0,155;4,24269897894161e-11
ANK3;2,41053529172872e-15;0,420834828535037;0,466;0,209;4,34474880981185e-11
TKTL1;2,70485160669225e-15;0,582078257173091;0,341;0,108;4,87522453590212e-11
