gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
POU4F1,3.048147655464393e-12,0.3589373491698826,0.238,0.024,5.4820935583527106e-8
AZIN1,3.1243304356553825e-12,0.4600902307077104,0.688,0.476,5.6191082885262055e-8
DCTN2,3.302282175888226e-12,0.4263566771208598,0.74,0.505,5.939154493334974e-8
HNRNPDL,3.311552586663088e-12,0.41348514108030465,0.921,0.856,5.955827327113564e-8
NCALD,3.554913642252015e-12,0.41920245978757303,0.524,0.269,6.393512185590249e-8
PTPRA,3.8508343065468576e-12,0.3739431523233969,0.683,0.418,6.925725500324523e-8
WDR6,3.922218569750444e-12,0.4105523018195414,0.726,0.457,7.054110097696174e-8
CYP51A1,4.040331680075109e-12,0.4289070931677851,0.551,0.288,7.266536526615084e-8
ADCY1,4.166496803036702e-12,0.4760542828384758,0.514,0.264,7.493444500261508e-8
LHX5-AS1,4.225328487848958e-12,0.3024249833777698,0.196,0,7.59925328539635e-8
CLIP3,4.37459934172499e-12,0.4542008757732712,0.696,0.466,7.867716916092395e-8
RIMKLB,4.598671857615059e-12,0.4175932362920847,0.536,0.279,8.270711335920683e-8
B4GALNT4,4.823415268312495e-12,0.450119698961454,0.697,0.457,8.674912360060023e-8
RMST,5.342159429302798e-12,-0.6111099567935421,0.576,0.784,9.607873733601082e-8
CXADR,5.578568566295678e-12,0.4919152709991461,0.629,0.413,1.0033055566482777e-7
DPYSL5,5.999972186790343e-12,0.4843151073969876,0.827,0.63,1.0790949977942431e-7
SLC1A2,6.2125901025164784e-12,0.42973617173981876,0.45,0.202,1.1173343299375887e-7
BEX4,6.236473603184247e-12,0.473319315117237,0.724,0.519,1.1216297775326868e-7
PRDM8,6.387924756387733e-12,0.3315063771547722,0.233,0.024,1.1488682674363338e-7
PARP6,6.404182870345883e-12,0.4169919584638684,0.622,0.346,1.1517922892317071e-7
CCND1,6.59991726043768e-12,-0.5127973856912592,0.327,0.524,1.1869951192897167e-7
YWHAH,6.7389663357068435e-12,0.5663507170193971,0.865,0.736,1.2120030954768757e-7
REEP5,7.357022451762453e-12,0.40455256757680247,0.688,0.433,1.3231604879494772e-7
SQLE,7.404027036083626e-12,0.5339154150130188,0.511,0.288,1.33161426243964e-7
TTYH3,8.216471436567642e-12,0.40728944478203966,0.761,0.534,1.4777323878666904e-7
AGRN,8.649928940534863e-12,0.45281942321991375,0.509,0.274,1.555689719955195e-7
IGFBPL1,8.652241069753401e-12,0.38468497965645343,0.33,0.091,1.556105556395149e-7
MDH2,9.365287174095189e-12,0.4045877479672324,0.658,0.404,1.6843468982610196e-7
RAB2A,9.519258897908813e-12,0.4239109241359935,0.608,0.361,1.7120387127889e-7
APBA2,1.0157233778777637e-11,0.44375485757509814,0.614,0.365,1.826778495113158e-7
MLC1,1.0247184356748345e-11,0.3426359452677752,0.246,0.034,1.8429561065611899e-7
KHDRBS1,1.0479939394381026e-11,0.3746068227486663,0.708,0.476,1.8848171000794275e-7
DCTN3,1.08755747684306e-11,0.39606103580767527,0.702,0.433,1.9559721221022434e-7
TUBB4B,1.0966436808118468e-11,0.4018898828090749,0.849,0.678,1.9723136599401064e-7
EXOC7,1.2118713313432311e-11,0.40612320147536074,0.564,0.308,2.1795505894208012e-7
ARHGAP21,1.2182859463594497e-11,0.40814177409594204,0.485,0.231,2.1910872745274702e-7
EIF4G2,1.2691883861329375e-11,0.3439553184051425,0.999,1,2.282635312460088e-7
KIF5C,1.3521753293227292e-11,0.5307964805675753,0.721,0.534,2.4318873297869284e-7
PRPF8,1.393781175380292e-11,0.3985333342359947,0.709,0.452,2.5067154439214555e-7
TOP2B,1.4128135087788846e-11,0.37083078915681467,0.73,0.486,2.540945095538824e-7
EVL,1.4629924864998664e-11,0.4632857527008327,0.933,0.885,2.6311919869700096e-7
ZIC4,1.5393527953300044e-11,0.374135396316071,0.302,0.077,2.768526002401013e-7
CD99,1.6012356682677654e-11,0.6602358532947006,0.784,0.649,2.879822349379576e-7
TMEM259,1.6587909963157023e-11,0.4169607699595541,0.695,0.442,2.9833356068737904e-7
RHBDL3,1.8388885296630196e-11,0.3908785797634435,0.333,0.101,3.3072410205989406e-7
SRGAP3,1.9025115882360227e-11,0.3802099107257553,0.569,0.308,3.421667091442487e-7
RAF1,1.969786672690184e-11,0.3690745331401983,0.425,0.178,3.542661330833296e-7
LINC01578,1.9801678410927242e-11,0.3830359548045188,0.746,0.486,3.561331862205264e-7
CSNK1E,2.0140620389225026e-11,0.39691166237589326,0.756,0.567,3.622290577002121e-7
NME1,2.0340911173652986e-11,0.3718943208443741,0.589,0.322,3.6583128745814895e-7
CBX1,2.0716146200162973e-11,0.39065370385092224,0.634,0.385,3.7257988940993106e-7
KRT10,2.160531451315143e-11,0.3657378316706221,0.696,0.447,3.8857158151902845e-7
PRXL2A,2.2369293564660633e-11,0.4049690752390901,0.628,0.38,4.023117447604215e-7
ATP1B3,2.4761317751489216e-11,0.41968730439388713,0.641,0.409,4.453322997605335e-7
FGD5-AS1,2.5108498931242874e-11,0.3685784824350622,0.603,0.341,4.515763532784031e-7
MSX1,2.529106946497919e-11,-0.4791346474416893,0.609,0.832,4.5485988432765075e-7
"NAP1L3",3.000378180446643e-11,0.5146040686342992,0.574,0.361,5.396180157533288e-7
