gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
DDR1,4.552452701427099e-13,0.4081252379650101,0.543,0.309,8.187586183516639e-9
MXRA7,4.952850195973258e-13,0.3700647986352452,0.561,0.326,8.907701077457906e-9
NORAD,4.97887950439901e-13,0.39263671433005054,0.767,0.591,8.95451478866162e-9
MYBPH,5.365616669354688e-13,0.45605402482004376,0.972,0.906,9.650061579834407e-9
DCX,5.374530318049922e-13,0.3647552343152045,0.488,0.255,9.666092777012785e-9
GLUD1,5.566182921419325e-13,0.39217383327342403,0.393,0.178,1.0010779984172657e-8
FXYD6,6.226364191293652e-13,0.4111270798505884,0.638,0.433,1.1198115998041633e-8
ZYX,7.013757605184861e-13,0.39634446124686784,0.588,0.372,1.2614243052924972e-8
HECTD4,7.497435611748058e-13,0.40832182166947506,0.412,0.195,1.3484137947728882e-8
SUN1,8.179732375191582e-13,0.3660342700670131,0.437,0.208,1.471124867678206e-8
ELN,8.584614543041949e-13,0.41122572903801013,0.567,0.332,1.5439429255660945e-8
HSPB3,8.728538177310379e-13,0.46228107328846635,0.665,0.45,1.5698275911892716e-8
MICOS10,8.974618555683199e-13,0.3837172144473956,0.746,0.57,1.6140851472396235e-8
IL32,9.383269999435332e-13,0.43162710130563897,0.433,0.218,1.6875811093984444e-8
HLA-A,9.688442141774261e-13,0.4431241730595733,0.431,0.211,1.7424663191981007e-8
ADD1,1.17543689061727e-12,0.40939693038713265,0.672,0.493,2.11402324777516e-8
CHRNA1,1.203559093160262e-12,0.4404923845231795,0.552,0.332,2.1646010290487313e-8
STK25,1.5012666227572427e-12,0.41014506135559203,0.72,0.544,2.7000280210289012e-8
PPP2R1A,1.5089846401339339e-12,0.37002234175770155,0.833,0.715,2.71390887528088e-8
RPS9,1.5385886422163417e-12,-0.3061339751483376,0.994,1,2.7671516730260905e-8
COL18A1,1.8175931006985798e-12,0.3619735954977249,0.58,0.342,3.268941191606396e-8
RPS27L,1.8276198191361943e-12,0.3884226869492642,0.878,0.785,3.2869742447164455e-8
PAM,1.8625373904942456e-12,0.3431635747188398,0.383,0.164,3.3497734968039e-8
SHC2,1.9222522082797547e-12,0.3923135548406137,0.413,0.201,3.457170596591139e-8
PNN,1.998019063897338e-12,0.40288232586638417,0.452,0.238,3.5934372864193625e-8
GOT1,2.2488735651854054e-12,0.35038194005243745,0.365,0.154,4.0445991069859516e-8
MB,2.4366410368553228e-12,0.31852304896102324,0.228,0.047,4.382298904784298e-8
FTH1,2.4871905620619246e-12,0.277976203025323,1,1,4.4732122258683715e-8
MRLN,2.519705439057148e-12,0.4691102139378909,0.586,0.399,4.5316902321442806e-8
ENO3,2.5956761167900776e-12,0.5200625132078842,0.829,0.695,4.668323496046955e-8
DPYSL3,3.0532246823320006e-12,0.39704075168430863,0.704,0.544,5.491224591174103e-8
MT-CO1,3.147684994019067e-12,0.28073663875693633,1,1,5.661111461743292e-8
RBFOX2,3.170572057640684e-12,0.4025309917366613,0.795,0.644,5.7022738456667705e-8
HSPA9,3.176923462935761e-12,0.3705566944502129,0.553,0.329,5.713696848089967e-8
DYNC1H1,3.680741551493799e-12,0.42137909931606876,0.669,0.497,6.619813680361597e-8
NFE2L1,3.8715489361855944e-12,0.3394359817026702,0.526,0.302,6.962980761729792e-8
PKM,3.916021182373549e-12,0.32806453398602375,0.973,0.906,7.042964096498829e-8
CHODL,3.929313652689063e-12,0.35563869141396187,0.332,0.128,7.06687060436128e-8
MYOG,3.9713729242564514e-12,0.37279242033756477,0.759,0.523,7.142514204275227e-8
NTRK2,4.0569477327363584e-12,0.3555853799779685,0.386,0.171,7.296420497326341e-8
SLC44A2,4.3764572346912575e-12,0.3868837149347737,0.524,0.309,7.871058336592226e-8
FNDC5,4.67313070436845e-12,0.4240345636299766,0.676,0.44,8.404625571806658e-8
TIA1,5.194333383199128e-12,0.3856153327389267,0.533,0.326,9.342008589683632e-8
AUTS2,5.2011782449334715e-12,0.3696833196933489,0.377,0.171,9.354319073512848e-8
SOX4,5.281570112293618e-12,0.3393683213476927,0.515,0.272,9.498903846960073e-8
TNNC1,5.293183467218816e-12,0.4737406716656458,0.895,0.805,9.51979046579304e-8
BEX3,5.301500978313757e-12,0.33034373324885125,0.931,0.866,9.534749509497292e-8
GAMT,6.432640522945595e-12,0.40470795895631095,0.574,0.362,1.1569103980517653e-7
DNAJB2,7.966691415232393e-12,0.34476426261741544,0.391,0.181,1.432809451029546e-7
